English (UK)	Right, I've moved your delivery to Thursday the 14th, and, um, I'll send a text once it's out for delivery. Anything else I can sort for you?
English (UK)	So your refund of forty-two pounds fifty has gone through, and it should land back on your card in, well, three to five working days.
English (UK)	Okay, I've cancelled the old subscription and set up the new one starting next month. Did you want me to email a confirmation as well?
English (UK)	Thanks for holding, I really do appreciate your patience. I've had a look and the double charge on your account, that was an error our end, so I'm putting it right now.
English (UK)	Right, so I can see the parcel got stuck at the depot. Let me, let me just chase that for you and get it moving.
English (UK)	I'm so sorry about the mix-up with your bill. Bear with me, um, I'll get this credited back before we hang up.
English (UK)	Alright, I've got you in with Doctor Hayes on Monday at quarter past nine. Does that still work for you?
English (UK)	Just ringing to remind you about your haircut tomorrow at, uh, half three with Sophie. See you then.
English (UK)	We can do Tuesday or, I mean, Wednesday morning if that's easier. Which one suits you best?
English (UK)	Your boiler service is booked for Friday the 9th, and the engineer'll arrive sometime between eight and twelve.
English (UK)	Hiya, I'm calling because you're actually eligible for a cheaper tariff, and, well, I thought you'd want to know before your contract renews.
English (UK)	No pressure at all, but if you stay with us, I can knock, um, a fiver off your monthly bill for the next year.
English (UK)	I noticed you've not used your gym membership in a while. Would you like me to, you know, pause it rather than cancel?
English (UK)	Before we go on, I'll just need to confirm a couple of details. Can you, can you give me the first line of your address?
English (UK)	We spotted a login from a new device this morning. Was that, um, was that you trying to sign in?
English (UK)	Right, that's a match, thank you. Now, just to be safe, I'll send a one-time code to your mobile ending 4471.
English (UK)	Okay, so I'm lodging this as a first notice of loss. Can you tell me roughly what time the, the accident happened?
English (UK)	Your claim's still being assessed, and, um, the handler should be in touch within five working days.
English (UK)	Don't worry, I'm dispatching roadside assistance to you now. They reckon about, well, forty-five minutes to reach you.
English (UK)	Just so I've got it right, the policy covers accidental damage but not, sorry, not wear and tear.
English (UK)	Your current balance is one thousand, two hundred and six pounds. Would you like to hear your recent transactions too?
English (UK)	Right, I've ordered you a new card and it should, um, it should arrive within seven working days.
English (UK)	I can see the payment of ninety pounds went out yesterday to, let me check, to British Gas.
English (UK)	Your loan application's been approved, and the funds'll be in your account by, well, Friday at the latest.
English (UK)	The FTSE 100 closed up zero point four percent today, while sterling held steady against the dollar.
English (UK)	Ten-year gilt yields edged a little higher this morning, sitting at, um, around four point one percent.
English (UK)	Barclays reported stronger quarterly earnings, and the shares climbed roughly two percent on the news.
English (UK)	For clarity, a force majeure clause covers events outside either party's control, such as, well, flooding or industrial action.
English (UK)	I'm confirming your intake has been logged under reference LG-2284, and a caseworker will review it shortly.
English (UK)	Please note that anything discussed today remains, uh, strictly confidential between yourself and the firm.
English (UK)	Just so you're aware, this call is being recorded for training and quality purposes.
English (UK)	You've got a fourteen-day cooling-off period, so if you change your mind, you can cancel without, um, any charge.
English (UK)	I do need to mention the subscription renews automatically each year unless you tell us otherwise.
English (UK)	And can I just confirm you're happy for us to, you know, keep your details on file for marketing?
English (UK)	Okay, first thing, unplug the router at the wall and, um, give it about ten seconds before you plug it back in.
English (UK)	Right, now look for the little reset button on the back. You'll want to, to press and hold it for five seconds.
English (UK)	Once the light goes green, tap continue on your screen. Has it, has it turned green yet?
English (UK)	Now scroll down to the bottom of the form and, well, just pop your postcode in that last box.
English (UK)	I'm afraid the ten forty train to Manchester's been delayed by about twenty minutes. We're, we're really sorry for the wait.
English (UK)	Your taxi's two minutes away in a silver Skoda, registration, um, LK19 ZTR.
English (UK)	Right, your parcel's out for delivery today and should arrive between, let me see, one and three this afternoon.
English (UK)	I've rebooked you onto the next flight to Edinburgh at six fifteen. Does that, does that work for you?
English (UK)	Just a quick reminder to, um, fast from midnight before your blood test tomorrow morning.
English (UK)	Your results have come back and everything looks fine, but the nurse will still give you a ring to go through them.
English (UK)	Don't forget to take your, your tablets with food, and please bring your repeat prescription slip along.
English (UK)	Before you go, would you mind rating today's call from one to five, where five is, well, very satisfied?
English (UK)	And on a scale of nought to ten, how likely are you to recommend us to a friend?
English (UK)	Good morning, thanks for calling Brookfield Dental. How can I, how can I help you today?
English (UK)	Right, I'll just pop you through to the accounts team. Bear with me one moment, please.
